,State,Agency name,Latitude,Longitude,2012 Crimes,2013 Crimes,2014 Crimes,2015 Crimes,2016 Crimes,Total Crimes
286,California,Loma Linda,34.0483474,-117.2611527,0.0,0.0,0.0,0.0,1.0,1.0
287,California,Lomita,33.7922392,-118.3150722,2.0,1.0,1.0,1.0,0.0,5.0
288,California,Long Beach,33.7700504,-118.1937395,3.0,4.0,6.0,6.0,4.0,23.0
289,California,Long Beach,33.7700504,-118.1937395,3.0,4.0,6.0,6.0,2.0,21.0
290,California,Long Beach,33.7700504,-118.1937395,3.0,1.0,6.0,6.0,4.0,20.0
291,California,Long Beach,33.7700504,-118.1937395,3.0,1.0,6.0,6.0,2.0,18.0
292,California,Long Beach,33.7700504,-118.1937395,1.0,4.0,6.0,6.0,4.0,21.0
293,California,Long Beach,33.7700504,-118.1937395,1.0,4.0,6.0,6.0,2.0,19.0
294,California,Long Beach,33.7700504,-118.1937395,1.0,1.0,6.0,6.0,4.0,18.0
295,California,Long Beach,33.7700504,-118.1937395,1.0,1.0,6.0,6.0,2.0,16.0
296,California,Los Alamitos,33.8032009,-118.0718894,0.0,1.0,0.0,1.0,0.0,2.0
297,California,Los Angeles,34.0522342,-118.2436849,83.0,79.0,99.0,142.0,155.0,558.0
298,California,Los Angeles,34.0522342,-118.2436849,83.0,79.0,99.0,142.0,3.0,406.0
299,California,Los Angeles,34.0522342,-118.2436849,83.0,79.0,99.0,5.0,155.0,421.0
300,California,Los Angeles,34.0522342,-118.2436849,83.0,79.0,99.0,5.0,3.0,269.0
301,California,Los Angeles,34.0522342,-118.2436849,1.0,79.0,99.0,142.0,155.0,476.0
302,California,Los Angeles,34.0522342,-118.2436849,1.0,79.0,99.0,142.0,3.0,324.0
303,California,Los Angeles,34.0522342,-118.2436849,1.0,79.0,99.0,5.0,155.0,339.0
304,California,Los Angeles,34.0522342,-118.2436849,1.0,79.0,99.0,5.0,3.0,187.0
305,California,Los Gatos,37.2358078,-121.9623751,0.0,2.0,3.0,1.0,0.0,6.0
306,California,Lynwood,33.930293,-118.2114603,1.0,1.0,2.0,0.0,0.0,4.0
307,California,Malibu,34.0259216,-118.7797571,0.0,1.0,1.0,1.0,2.0,5.0
308,California,Mammoth Lakes,37.648546,-118.972079,1.0,0.0,2.0,0.0,1.0,4.0
309,California,Manhattan Beach,33.8847361,-118.4109089,0.0,1.0,0.0,1.0,0.0,2.0
310,California,Manteca,37.7974273,-121.2160526,0.0,2.0,1.0,2.0,5.0,10.0
311,California,Marin Community College,37.955595,-122.5496,1.0,1.0,0.0,0.0,0.0,2.0
312,California,Marina,36.68440289999999,-121.802173,0.0,0.0,2.0,0.0,0.0,2.0
313,California,Marysville,39.1457253,-121.5913547,1.0,0.0,0.0,1.0,0.0,2.0
314,California,Menifee,33.6971468,-117.185294,0.0,0.0,1.0,1.0,0.0,2.0
315,California,Merced,37.3021632,-120.4829677,0.0,0.0,0.0,1.0,0.0,1.0
316,California,Milpitas,37.4323341,-121.8995741,1.0,1.0,0.0,0.0,0.0,2.0
317,California,Mission Viejo,33.5968913,-117.6581562,0.0,0.0,0.0,1.0,0.0,1.0
318,California,Modesto,37.63909719999999,-120.9968782,3.0,2.0,3.0,4.0,10.0,22.0
319,California,Monrovia,34.1442616,-118.0019482,2.0,0.0,1.0,0.0,0.0,3.0
320,California,Montclair,34.0775104,-117.6897776,1.0,2.0,3.0,0.0,2.0,8.0
321,California,Montebello,34.0165053,-118.1137535,0.0,0.0,0.0,1.0,0.0,1.0
322,California,Monterey,36.6002378,-121.8946761,0.0,1.0,1.0,0.0,1.0,3.0
